datetime,username,content,label
2023-02-27 22:51:22+00:00,LumowaS,"@sayainiarman @KontanNews Kajian pasti sudah dilakukan, yg paling sederhana coba dikalkulasi dulu al. perbandingan penggunaan BBM dari sekian jumlah kendaraan dgn pembangkit listrik ☝",netral
2023-02-27 21:56:35+00:00,obyhong,"Sebelum kendaraan listrik digunakan secara luas, harus buat dahulu charging station di mana-mana. Berarti kebutuhan tembaga juga. Sebagai bonus, tembaga itu ternyata banyak ditemukan bersama dengan emas. Ada yang tau kenapa bisa begitu ?",netral
2023-02-27 21:56:35+00:00,obyhong,"Tembaga akan dibutuhkan untuk transisi energi dari fosil ke EBT. Mau itu energi surya, panas bumi, angin, arus laut, semua ujung-ujungnya adalah listrik. Dan bila kita bicara listrik, pasti perlu tembaga. Kendaraan listrik juga bagian dari transisi energi.",netral
2023-02-27 20:56:20+00:00,sandyuda15,@BisKota_ Mendukung program subsidi kendaraan listrik 🙏,positif
2023-02-27 18:24:36+00:00,MIlhamP,"@sk3ltah @otongkoil atau mungkin 

kenapa ga pake kendaraan listrik?

masih pada mahal, dan tempat pengisian dayanya juga belom banyak dan masih berbahaya...

nah kan bisa nih kritiknya berarti infrastruktur alternatif kendaraannya bermotornya masih kurang...",negatif
2023-02-27 17:13:17+00:00,dominikuspaksi,@kumparan Bilang aja mau impor kendaraan listrik. Pasti di acc kok 😉,positif
2023-02-27 13:07:09+00:00,zeronol0,"@noire172 sejak kapan pemerintah memikirkan armada transportasi umum, kalo bisa semua kendaraan listrik kalo perlu",positif
2023-02-27 11:51:21+00:00,usbps2id,@sereinpsitruism solusi dari pemerintah kendaraan listrik awikwok,positif
2023-02-27 05:59:40+00:00,insanridho,"@anasdarajat Persis. Kata ""jitu"" adalah kata yang tepat. Saya rasa kendaraan listrik tetap menjadi solusi pengurangan emisi gas buang. Yang jadi masalah adalah ketika kita menempatkan kendaraan listrik apalagi berbentuk kendaraan pribadi sebagai satu-satunya solusi.",netral
2023-02-27 05:32:37+00:00,badutinvestor,"yang akan meningkat akibat subsidi pemerintah terhadap kendaraan listrik (Electric vehicle/ EV) yang dimana nikel menjadi salah satu komponen utama dari batre EV,  patut untuk dipantau..",netral
2023-02-27 04:19:14+00:00,SahabatPLNJkt,"Lewat pameran ini, PLN sekaligus mengenalkan
beragam fasilitas layanan untuk kendaraan listrik seperti SPKLU, Stasiun Penukaran Baterai Kendaraan Listrik Umum (SPBKLU) hingga layanan home charging.

#PLNEMobilizeYou
#EMobilitybyPLN
#MotorKonversiPLN
#IIMSPoweredbyPLN",netral
2023-02-27 04:19:13+00:00,SahabatPLNJkt,"Dalam gelaran yang dibuka secara resmi oleh Presiden RI Joko Widodo, keterlibatan aktif PLN ini sebagai bentuk komitmen mempercepat pertumbuhan ekosistem kendaraan listrik (electric vehicle/EV) di Indonesia.",positif
2023-02-27 02:10:07+00:00,adhie_MCreative,"Ga usah jauh2 ngomongin ibukota baru,kendaraan listrik dll…benerin aj dulu bpjs",negatif
2023-02-26 23:59:40+00:00,adibaprayoga,"LaNyalla: “Bus listrik sebagai transportasi publik harus bisa dioperasikan di kota² lain agar semakin banyak warga yang beralih ke transportasi publik. Sebab, semakin banyak warga yang menggunakan kendaraan umum, semakin kita dapat menekan konsumsi BBM,”. #LaNyalla",positif
2023-02-26 19:11:24+00:00,damarapp,"kendaraan listrik masih belum bisa digunakan di Indonesia, alasannya, limbah listrik mau di buang di mana?
apakah sistem pembuangan sampah kita sudah baik?
Apakah kontribusi pemerintah terkait sampah sudah dirasakan masyarakat secara nyata?",negatif
2023-02-26 17:43:53+00:00,irfanov2,"@Minietweets_ @jokowi @kompascom Kendaraan listrik akan menggantikan kendaraan konvensional di masa depan,,,penghasil nikel terbesar ada di Indonesia, sebagai bahan baku utk battery kendaraan listrik...good bless presiden @jokowi",positif
2023-02-26 11:33:46+00:00,ZasraFebria,@son__of_adam Harus diperbanyak nih kendaraan listrik,positif
2023-02-26 10:58:37+00:00,qnnangan,@Seputar_Energi_ Semangat membangun ekosistem kendaraan listrik,positif
2023-02-26 08:13:26+00:00,BumnJktSigap,PLN siap mengoptimalkan infrastruktur ekosistem kendaraan listrik sebagaimana arahan Presiden RI Joko Widodo untuk mempercepat transisi energi melalui ekosistem EV.,positif
2023-02-26 06:00:07+00:00,PDI_Perjuangan,"sehingga ke depan secara bertahap sesuai yang digagas Wali Kota Surabaya Eri Cahyadi bahwa kendaraan dinas akan beralih ke kendaraan listrik untuk alasan efisiensi.

#PDIPerjuangan
#50tahunPDIP
#bangunlahjiwadanbadannya
#SolidBergerak",netral
2023-02-26 06:00:06+00:00,PDI_Perjuangan,"Armuji Sebut Kendaraan Dinas Surabaya Akan Beralih ke Kendaraan Listrik

Wakil Wali Kota Surabaya Armuji mengatakan, pemkot Surabaya saat ini memiliki bus listrik,",netral
2023-02-26 04:03:02+00:00,_pln_id,"Pelanggan dapat menikmati diskon 30 persen dari pukul 22.00 hingga 05.00 dari pemakaian 𝘩𝘰𝘮𝘦 𝘤𝘩𝘢𝘳𝘨𝘪𝘯𝘨. 

Yuk, beralih ke kendaraan listrik sekarang dan nikmati semua kemudahannya!

#PLN #PLNMobile #ElectricVehicle #PLNUntukIndonesia",positif
2023-02-26 04:03:00+00:00,_pln_id,"Untuk memenuhi kebutuhan pelanggan tersebut, PLN menghadirkan promo 𝘚𝘶𝘱𝘦𝘳 𝘌𝘷𝘦𝘳𝘺𝘥𝘢𝘺, yakni promo penyambung baru (PB) untuk pengisian daya di rumah atau 𝘩𝘰𝘮𝘦 𝘤𝘩𝘢𝘳𝘨𝘪𝘯𝘨.

#PLN #PLNMobile #ElectricVehicle #KendaraanListrik #PLNUntukIndonesia",netral
2023-02-26 03:42:43+00:00,alvinrio_1501,"Cara memaksa transisi kendaraan listrik semua?

Langkakan bbm, oli atau naikkan harganya sepuluh kali lipat

Subsidi kendaraan listrik

Ketika semua berhubungan dengan listrik maka pemadaman listrik dalih perubahan iklim akan semakin mulus agenda busuknya keliatan",negatif
2023-02-25 15:59:24+00:00,bumn_dki_jaya,"Electrizen, Presiden RI Joko Widodo mengajak semua pihak mendorong penggunaan kendaraan listrik pada gelaran Indonesia International Motor Show 2023 di Jiexpo Kemayoran. 

#PLN_EMobilizeYou
#EMobilitybyPLN
#MotorListrikPLN
#IIMSPoweredbyPLN",positif
2023-02-25 14:12:48+00:00,hmja_pnj,"[ TRANSPORTASI MASA DEPAN, RAMAH LINGKUNGAN ATAU MERUSAK ALAM? ]


Presiden Joko Widodo menyampaikan bahwa pemerintah sangatlah optimis dengan adanya program percepatan kendaraan bermotor listrik yang berbasiskan penggunaan baterai.",positif
2023-02-25 08:49:56+00:00,faris_sina,Apakah Indonesia perlu membangun industri kendaraan listrik?,netral
2023-02-25 08:48:30+00:00,dinsposable,Kebayang jalanan bakal jadi sepi dan ga berisik lagi kalo semua orang dah pake kendaraan listrik,netral
2023-02-25 04:40:12+00:00,lovelands_,"Seto pun menerangkan, sejumlah pabrikan teknologi serta kendaraan listrik belakangan sudah memiliki perhatian serius pada ketelusuran atau traceability dari bahan baku mineral komponen pembentuk produk mereka.

#UangPajakUntukPejabat",netral
2023-02-25 03:40:05+00:00,BangKibo20,"@psi_id Keren, beralih ke kendaraan listrik. Semoga dapat digunakan sebaik-baiknya",positif
2023-02-24 14:06:20+00:00,ArsjadRasjid,"@RogerCookMLA Penandatanganan ini merupakan tindak lanjut dari pertemuan kami saat di B20 tahun lalu.

Kami sepakat untuk bekerja bersama-sama, mengeksplorasi peluang dalam membangun rantai pasok mineral dan menjadi global hub produksi baterai kendaraan listrik.",positif
2023-02-24 11:45:46+00:00,MiningIndonesia,"Ketika memasuki era mobil listrik, Indonesia berpeluang besar masuk dalam industri mobil listrik sebagai produsen utama baterai lithium, karena nikel merupakan bahan utama pembuatan baterai untuk kendaraan listrik.",netral
2023-02-24 08:58:40+00:00,bumnplgsigap,"Hal ini dilakukan untuk mendukung target pemerintah dalam transisi energi sekaligus pengurangan emisi karbon.

PLN siap mengoptimalkan infrastruktur ekosistem kendaraan listrik sebagaimana arahan Presiden RI Joko Widodo untuk mempercepat transisi energi melalui ekosistem EV.",positif
2023-02-24 04:01:40+00:00,rhyss001,@nusantara_one Apakah @pln_123 sudah punya masterplan mengantisipasi kapasitas kebutuhan listrik dan infrastruktur untuk cas kendaraan listrik di pengguna rumah2 dan fasilitas umum?,netral
2023-02-24 01:13:08+00:00,DararingIlham,@OposisiCerdas @megalistaz Rugi dlm hal apa....???aku tuh curiganya kita malah rugi klu beralih ke kendaraan listrik.itu krn semua omongan mereka² ini ga ada yg bisa dipercaya.kenyataannya selalu terbalik.,negatif
2023-02-23 23:23:11+00:00,Ugi7498,@OposisiCerdas Bahasa marketing dari pejabat pemerintah. Bukannya yg rugi pemerintahnya klo pejabat dan operasional PNS tidak menggunakan kendaraan listrik.,negatif
2023-02-23 14:52:21+00:00,jobseekpura,"@infojakarta @DKIJakarta arahan dari pusat, bisnis kendaraan listrik sudah dikuasai tinggal pasarnya saja yang perlu dihidupkan",positif
2023-02-23 13:40:22+00:00,MulLayau,"@CNNIndonesia Kendaraan listrik tidak cocok untuk urusan bisnis atau perjalanan jauh
Apalagi keluar kota sangat lamban",negatif
2023-02-23 12:48:17+00:00,sgbrd,"@ridwanhr Kalau punya kendaraan listrik yang harus pertama beli tabung APAR merah, karena sekalinya baterai muncul api malah bakal memburuk pas disiram air",negatif
2023-02-23 11:47:34+00:00,levinaardia,@iMedKrisna Dialihkan ke subsidi kendaraan listrik nampaknya. Plus kepentok sama aturan kemenperin soal barang impor. Huft. Kek pepes manusia klo jam pulang pergi kantor,negatif
2023-02-23 10:31:22+00:00,anindyabakrie,"Agar target Net Zero Emission bisa tercapai dan Indonesia akan menjadi pemimpin dunia di sektor kendaraan listrik.

Indonesia bisa!

#kendaraanlistrik #BusListrik #BusListrikVKTR #VKTR",positif
2023-02-23 10:30:28+00:00,umay_patria,"@AlMawardin7 Boro2 mikirin kendaraan listrik, bayar listrik aja telat tiap bulan kok pak 🤣",negatif
2023-02-23 10:29:39+00:00,anindyabakrie,"Kami di Kelompok Usaha Bakrie sendiri sudah menjadi pemain bisnis otoparts lebih dari 40 tahun melalui @BakrieAutoparts . Kini melalui @VKTR_id kami berupaya untuk membangun industri manufaktur kendaraan listrik untuk meningkatkan Taraf Kandungan Dalam Negri (TKDN). 

#BusListrik",positif
2023-02-23 10:24:43+00:00,OmJack26616095,"@infojakarta @DKIJakarta Anggap saja sebagai promosi berjalan, sosialisasi penggunaan kendaraan bermotor tenaga listrik",positif
2023-02-23 08:24:25+00:00,BJKT2Terpercaya,"Electrizen, Presiden RI Joko Widodo mengajak semua pihak mendorong penggunaan kendaraan listrik pada gelaran Indonesia International Motor Show 2023 di Jiexpo Kemayoran. 
Hal ini dilakukan untuk mendukung target pemerintah dalam transisi energi sekaligus pengurangan emisi karbon.",positif
2023-02-23 08:18:22+00:00,arifudaijobu,Yang kayak gini masih mau subsidi kendaraan listrik?,negatif
2023-02-23 08:11:19+00:00,podo_radong1,"@AlMawardin7 coba cek kendaraan listrik mana yg disubsidi?
buatan mana?
harga pokok brp?",negatif
2023-02-23 06:34:31+00:00,Alberto06Fans,"@detikcom Gw mah akan ttep pakai motor/mobil pribadi, 

Coba sini pejabatnya naik kendaraan umum jg, biar bisa bikin solusi yg rasional, selama pejabat kmn2 msh di kawal, sana sini disuruh minggir di jalan, sini dulu rasain biar tau rasanya

Ini malah ksh subsidi kendaraan listrik",negatif
2023-02-23 06:05:24+00:00,spider9761,@detikcom Solusinya beli kendaraan listrik harga diskon,positif
