username,content,label,clean_teks
LumowaS,"@sayainiarman @KontanNews Kajian pasti sudah dilakukan, yg paling sederhana coba dikalkulasi dulu al. perbandingan penggunaan BBM dari sekian jumlah kendaraan dgn pembangkit listrik ☝",1,"['kaji', 'laku', 'sederhana', 'coba', 'kalkulasi', 'banding', 'bbm', 'sekian', 'kendara', 'bangkit', 'listrik']"
obyhong,"Sebelum kendaraan listrik digunakan secara luas, harus buat dahulu charging station di mana-mana. Berarti kebutuhan tembaga juga. Sebagai bonus, tembaga itu ternyata banyak ditemukan bersama dengan emas. Ada yang tau kenapa bisa begitu ?",1,"['kendara', 'listrik', 'luas', 'charging', 'station', 'arti', 'butuh', 'tembaga', 'bonus', 'tembaga', 'nyata', 'temu', 'emas']"
obyhong,"Tembaga akan dibutuhkan untuk transisi energi dari fosil ke EBT. Mau itu energi surya, panas bumi, angin, arus laut, semua ujung-ujungnya adalah listrik. Dan bila kita bicara listrik, pasti perlu tembaga. Kendaraan listrik juga bagian dari transisi energi.",1,"['tembaga', 'butuh', 'transisi', 'energi', 'fosil', 'ebt', 'energi', 'surya', 'panas', 'bumi', 'angin', 'arus', 'laut', 'ujung', 'ujung', 'listrik', 'bicara', 'listrik', 'tembaga', 'kendara', 'listrik', 'transisi', 'energi']"
sandyuda15,@BisKota_ Mendukung program subsidi kendaraan listrik 🙏,2,"['dukung', 'program', 'subsidi', 'kendara', 'listrik']"
MIlhamP,"@sk3ltah @otongkoil atau mungkin 

kenapa ga pake kendaraan listrik?

masih pada mahal, dan tempat pengisian dayanya juga belom banyak dan masih berbahaya...

nah kan bisa nih kritiknya berarti infrastruktur alternatif kendaraannya bermotornya masih kurang...",0,"['pakai', 'kendara', 'listrik', 'mahal', 'isi', 'daya', 'bom', 'bahaya', 'kritik', 'arti', 'infrastruktur', 'alternatif', 'kendara', 'motor']"
dominikuspaksi,@kumparan Bilang aja mau impor kendaraan listrik. Pasti di acc kok 😉,2,"['bilang', 'impor', 'kendara', 'listrik', 'acc']"
zeronol0,"@noire172 sejak kapan pemerintah memikirkan armada transportasi umum, kalo bisa semua kendaraan listrik kalo perlu",2,"['perintah', 'pikir', 'armada', 'transportasi', 'kendara', 'listrik']"
usbps2id,@sereinpsitruism solusi dari pemerintah kendaraan listrik awikwok,2,"['solusi', 'perintah', 'kendara', 'listrik']"
insanridho,"@anasdarajat Persis. Kata ""jitu"" adalah kata yang tepat. Saya rasa kendaraan listrik tetap menjadi solusi pengurangan emisi gas buang. Yang jadi masalah adalah ketika kita menempatkan kendaraan listrik apalagi berbentuk kendaraan pribadi sebagai satu-satunya solusi.",1,"['persis', 'jitu', 'kendara', 'listrik', 'solusi', 'emisi', 'gas', 'buang', 'kendara', 'listrik', 'bentuk', 'kendara', 'pribadi', 'solusi']"
badutinvestor,"yang akan meningkat akibat subsidi pemerintah terhadap kendaraan listrik (Electric vehicle/ EV) yang dimana nikel menjadi salah satu komponen utama dari batre EV,  patut untuk dipantau..",1,"['tingkat', 'akibat', 'subsidi', 'perintah', 'hadap', 'kendara', 'listrik', 'electric', 'vehicle', 'ev', 'nikel', 'salah', 'komponen', 'utama', 'baterai', 'ev', 'patut', 'pantau']"
SahabatPLNJkt,"Lewat pameran ini, PLN sekaligus mengenalkan
beragam fasilitas layanan untuk kendaraan listrik seperti SPKLU, Stasiun Penukaran Baterai Kendaraan Listrik Umum (SPBKLU) hingga layanan home charging.

#PLNEMobilizeYou
#EMobilitybyPLN
#MotorKonversiPLN
#IIMSPoweredbyPLN",1,"['pamer', 'pln', 'kenal', 'agam', 'fasilitas', 'layan', 'kendara', 'listrik', 'spklu', 'stasiun', 'tukar', 'baterai', 'kendara', 'listrik', 'spbklu', 'layan', 'home', 'charging']"
SahabatPLNJkt,"Dalam gelaran yang dibuka secara resmi oleh Presiden RI Joko Widodo, keterlibatan aktif PLN ini sebagai bentuk komitmen mempercepat pertumbuhan ekosistem kendaraan listrik (electric vehicle/EV) di Indonesia.",2,"['gelar', 'buka', 'resmi', 'presiden', 'joko', 'widodo', 'libat', 'aktif', 'pln', 'bentuk', 'komitmen', 'cepat', 'tumbuh', 'ekosistem', 'kendara', 'listrik', 'electric', 'vehicle', 'ev', 'indonesia']"
adhie_MCreative,"Ga usah jauh2 ngomongin ibukota baru,kendaraan listrik dll…benerin aj dulu bpjs",0,"['ngomongin', 'ibukota', 'kendara', 'listrik', 'dllbenerin', 'bpjs']"
adibaprayoga,"LaNyalla: “Bus listrik sebagai transportasi publik harus bisa dioperasikan di kota² lain agar semakin banyak warga yang beralih ke transportasi publik. Sebab, semakin banyak warga yang menggunakan kendaraan umum, semakin kita dapat menekan konsumsi BBM,”. #LaNyalla",2,"['lanyalla', 'bus', 'listrik', 'transportasi', 'publik', 'operasi', 'kota', 'warga', 'alih', 'transportasi', 'publik', 'warga', 'kendara', 'tekan', 'konsumsi', 'bbm']"
damarapp,"kendaraan listrik masih belum bisa digunakan di Indonesia, alasannya, limbah listrik mau di buang di mana?
apakah sistem pembuangan sampah kita sudah baik?
Apakah kontribusi pemerintah terkait sampah sudah dirasakan masyarakat secara nyata?",0,"['kendara', 'listrik', 'indonesia', 'alas', 'limbah', 'listrik', 'buang', 'sistem', 'buang', 'sampah', 'kontribusi', 'perintah', 'kait', 'sampah', 'masyarakat', 'nyata']"
irfanov2,"@Minietweets_ @jokowi @kompascom Kendaraan listrik akan menggantikan kendaraan konvensional di masa depan,,,penghasil nikel terbesar ada di Indonesia, sebagai bahan baku utk battery kendaraan listrik...good bless presiden @jokowi",2,"['kendara', 'listrik', 'ganti', 'kendara', 'konvensional', 'hasil', 'nikel', 'indonesia', 'bahan', 'baku', 'battery', 'kendara', 'listrik', 'good', 'bless', 'presiden']"
ZasraFebria,@son__of_adam Harus diperbanyak nih kendaraan listrik,2,"['kendara', 'listrik']"
qnnangan,@Seputar_Energi_ Semangat membangun ekosistem kendaraan listrik,2,"['semangat', 'bangun', 'ekosistem', 'kendara', 'listrik']"
BumnJktSigap,PLN siap mengoptimalkan infrastruktur ekosistem kendaraan listrik sebagaimana arahan Presiden RI Joko Widodo untuk mempercepat transisi energi melalui ekosistem EV.,2,"['pln', 'optimal', 'infrastruktur', 'ekosistem', 'kendara', 'listrik', 'arah', 'presiden', 'joko', 'widodo', 'cepat', 'transisi', 'energi', 'ekosistem', 'ev']"
PDI_Perjuangan,"sehingga ke depan secara bertahap sesuai yang digagas Wali Kota Surabaya Eri Cahyadi bahwa kendaraan dinas akan beralih ke kendaraan listrik untuk alasan efisiensi.

#PDIPerjuangan
#50tahunPDIP
#bangunlahjiwadanbadannya
#SolidBergerak",1,"['tahap', 'sesuai', 'gagas', 'wali', 'kota', 'surabaya', 'eri', 'cahyadi', 'kendara', 'dinas', 'alih', 'kendara', 'listrik', 'alas', 'efisiensi']"
PDI_Perjuangan,"Armuji Sebut Kendaraan Dinas Surabaya Akan Beralih ke Kendaraan Listrik

Wakil Wali Kota Surabaya Armuji mengatakan, pemkot Surabaya saat ini memiliki bus listrik,",1,"['armuji', 'kendara', 'dinas', 'surabaya', 'alih', 'kendara', 'listrik', 'wakil', 'wali', 'kota', 'surabaya', 'armuji', 'perintah', 'kota', 'surabaya', 'milik', 'bus', 'listrik']"
_pln_id,"Pelanggan dapat menikmati diskon 30 persen dari pukul 22.00 hingga 05.00 dari pemakaian 𝘩𝘰𝘮𝘦 𝘤𝘩𝘢𝘳𝘨𝘪𝘯𝘨. 

Yuk, beralih ke kendaraan listrik sekarang dan nikmati semua kemudahannya!

#PLN #PLNMobile #ElectricVehicle #PLNUntukIndonesia",2,"['langgan', 'nikmat', 'diskon', 'persen', 'pakai', 'yuk', 'alih', 'kendara', 'listrik', 'nikmat', 'mudah']"
_pln_id,"Untuk memenuhi kebutuhan pelanggan tersebut, PLN menghadirkan promo 𝘚𝘶𝘱𝘦𝘳 𝘌𝘷𝘦𝘳𝘺𝘥𝘢𝘺, yakni promo penyambung baru (PB) untuk pengisian daya di rumah atau 𝘩𝘰𝘮𝘦 𝘤𝘩𝘢𝘳𝘨𝘪𝘯𝘨.

#PLN #PLNMobile #ElectricVehicle #KendaraanListrik #PLNUntukIndonesia",1,"['penuh', 'butuh', 'langgan', 'pln', 'hadir', 'promo', 'promo', 'sambung', 'pb', 'isi', 'daya', 'rumah']"
alvinrio_1501,"Cara memaksa transisi kendaraan listrik semua?

Langkakan bbm, oli atau naikkan harganya sepuluh kali lipat

Subsidi kendaraan listrik

Ketika semua berhubungan dengan listrik maka pemadaman listrik dalih perubahan iklim akan semakin mulus agenda busuknya keliatan",0,"['paksa', 'transisi', 'kendara', 'listrik', 'langka', 'bbm', 'oli', 'harga', 'puluh', 'lipat', 'subsidi', 'kendara', 'listrik', 'hubung', 'listrik', 'madam', 'listrik', 'dalih', 'ubah', 'iklim', 'mulus', 'agenda', 'busuk', 'lihat']"
bumn_dki_jaya,"Electrizen, Presiden RI Joko Widodo mengajak semua pihak mendorong penggunaan kendaraan listrik pada gelaran Indonesia International Motor Show 2023 di Jiexpo Kemayoran. 

#PLN_EMobilizeYou
#EMobilitybyPLN
#MotorListrikPLN
#IIMSPoweredbyPLN",2,"['electrizen', 'presiden', 'joko', 'widodo', 'ajak', 'dorong', 'kendara', 'listrik', 'gelar', 'indonesia', 'international', 'motor', 'show', 'jiexpo', 'mayor']"
